date,day_of_week,is_holiday,is_week_end,is_work
2014/6/6,5,0,1,1
2014/6/7,6,0,0,0
2014/6/8,7,0,0,0
2014/6/9,1,0,1,1
2014/6/10,2,0,1,1
2014/6/11,3,0,1,1
2014/6/12,4,0,1,1
2014/6/13,5,0,1,1
2014/6/14,6,0,0,0
2014/6/15,7,0,0,0
2014/6/16,1,0,1,1
2014/6/17,2,0,1,1
2014/6/18,3,0,1,1
2014/6/19,4,0,1,1
2014/6/20,5,0,1,1
2014/6/21,6,0,0,0
2014/6/22,7,0,0,0
2014/6/23,1,0,1,1
2014/6/24,2,0,1,1
2014/6/25,3,0,1,1
2014/6/26,4,0,1,1
2014/6/27,5,0,1,1
2014/6/28,6,0,0,0
2014/6/29,7,0,0,0
2014/6/30,1,0,1,1
2014/7/1,2,0,1,1
2014/7/2,3,0,1,1
2014/7/3,4,0,1,1
2014/7/4,5,0,1,1
2014/7/5,6,0,0,0
2014/7/6,7,0,0,0
2014/7/7,1,0,1,1
2014/7/8,2,0,1,1
2014/7/9,3,0,1,1
2014/7/10,4,0,1,1
2014/7/11,5,0,1,1
2014/7/12,6,0,0,0
2014/7/13,7,0,0,0
2014/7/14,1,0,1,1
2014/7/15,2,0,1,1
2014/7/16,3,0,1,1
2014/7/17,4,0,1,1
2014/7/18,5,0,1,1
2014/7/19,6,0,0,0
2014/7/20,7,0,0,0
2014/7/21,1,0,1,1
2014/7/22,2,0,1,1
2014/7/23,3,0,1,1
2014/7/24,4,0,1,1
2014/7/25,5,0,1,1
2014/7/26,6,0,0,0
2014/7/27,7,0,0,0
2014/7/28,1,0,1,1
2014/7/29,2,0,1,1
2014/7/30,3,0,1,1
2014/7/31,4,0,1,1
2014/8/1,5,0,1,1
2014/8/2,6,0,0,0
2014/8/3,7,0,0,0
2014/8/4,1,0,1,1
2014/8/5,2,0,1,1
2014/8/6,3,0,1,1
2014/8/7,4,0,1,1
2014/8/8,5,0,1,1
2014/8/9,6,0,0,0
2014/8/10,7,0,0,0
2014/8/11,1,0,1,1
2014/8/12,2,0,1,1
2014/8/13,3,0,1,1
2014/8/14,4,0,1,1
2014/8/15,5,0,1,1
2014/8/16,6,0,0,0
2014/8/17,7,0,0,0
2014/8/18,1,0,1,1
2014/8/19,2,0,1,1
2014/8/20,3,0,1,1
2014/8/21,4,0,1,1
2014/8/22,5,0,1,1
2014/8/23,6,0,0,0
2014/8/24,7,0,0,0
2014/8/25,1,0,1,1
2014/8/26,2,0,1,1
2014/8/27,3,0,1,1
2014/8/28,4,0,1,1
2014/8/29,5,0,1,1
2014/8/30,6,0,0,0
2014/8/31,7,0,0,0
2014/9/1,1,0,1,1
2014/9/2,2,0,1,1
2014/9/3,3,0,1,1
2014/9/4,4,0,1,1
2014/9/5,5,0,1,1
2014/9/6,6,0,0,0
2014/9/7,7,0,0,0
2014/9/8,1,1,1,0
2014/9/9,2,0,1,1
2014/9/10,3,0,1,1
2014/9/11,4,0,1,1
2014/9/12,5,0,1,1
2014/9/13,6,0,0,0
2014/9/14,7,0,0,0
2014/9/15,1,0,1,1
2014/9/16,2,0,1,1
2014/9/17,3,0,1,1
2014/9/18,4,0,1,1
2014/9/19,5,0,1,1
2014/9/20,6,0,0,0
2014/9/21,7,0,0,0
2014/9/22,1,0,1,1
2014/9/23,2,0,1,1
2014/9/24,3,0,1,1
2014/9/25,4,0,1,1
2014/9/26,5,0,1,1
2014/9/27,6,0,0,0
2014/9/28,7,0,0,1
2014/9/29,1,0,1,1
2014/9/30,2,0,1,1
2014/10/1,3,1,1,0
2014/10/2,4,1,1,0
2014/10/3,5,1,1,0
2014/10/4,6,1,0,0
2014/10/5,7,1,0,0
2014/10/6,1,1,1,0
2014/10/7,2,1,1,0
2014/10/8,3,0,1,1
2014/10/9,4,0,1,1
2014/10/10,5,0,1,1
2014/10/11,6,0,0,1
2014/10/12,7,0,0,0
2014/10/13,1,0,1,1
2014/10/14,2,0,1,1
2014/10/15,3,0,1,1
2014/10/16,4,0,1,1
2014/10/17,5,0,1,1
2014/10/18,6,0,0,0
2014/10/19,7,0,0,0
2014/10/20,1,0,1,1
2014/10/21,2,0,1,1
2014/10/22,3,0,1,1
2014/10/23,4,0,1,1
2014/10/24,5,0,1,1
2014/10/25,6,0,0,0
2014/10/26,7,0,0,0
2014/10/27,1,0,1,1
2014/10/28,2,0,1,1
2014/10/29,3,0,1,1
2014/10/30,4,0,1,1
2014/10/31,5,0,1,1
2014/11/1,6,0,0,0
2014/11/2,7,0,0,0
2014/11/3,1,0,1,1
2014/11/4,2,0,1,1
2014/11/5,3,0,1,1
2014/11/6,4,0,1,1
2014/11/7,5,0,1,1
2014/11/8,6,0,0,0
2014/11/9,7,0,0,0
2014/11/10,1,0,1,1
2014/11/11,2,0,1,1
2014/11/12,3,0,1,1
2014/11/13,4,0,1,1
2014/11/14,5,0,1,1
2014/11/15,6,0,0,0
2014/11/16,7,0,0,0
2014/11/17,1,0,1,1
2014/11/18,2,0,1,1
2014/11/19,3,0,1,1
2014/11/20,4,0,1,1
2014/11/21,5,0,1,1
2014/11/22,6,0,0,0
2014/11/23,7,0,0,0
2014/11/24,1,0,1,1
2014/11/25,2,0,1,1
2014/11/26,3,0,1,1
2014/11/27,4,0,1,1
2014/11/28,5,0,1,1
2014/11/29,6,0,0,0
2014/11/30,7,0,0,0
2014/12/1,1,0,1,1
2014/12/2,2,0,1,1
2014/12/3,3,0,1,1
2014/12/4,4,0,1,1
2014/12/5,5,0,1,1
2014/12/6,6,0,0,0
2014/12/7,7,0,0,0
2014/12/8,1,0,1,1
2014/12/9,2,0,1,1
2014/12/10,3,0,1,1
2014/12/11,4,0,1,1
2014/12/12,5,0,1,1
2014/12/13,6,0,0,0
2014/12/14,7,0,0,0
2014/12/15,1,0,1,1
2014/12/16,2,0,1,1
2014/12/17,3,0,1,1
2014/12/18,4,0,1,1
2014/12/19,5,0,1,1
2014/12/20,6,0,0,0
2014/12/21,7,0,0,0
2014/12/22,1,0,1,1
2014/12/23,2,0,1,1
2014/12/24,3,0,1,1
2014/12/25,4,0,1,1
2014/12/26,5,0,1,1
2014/12/27,6,0,0,0
2014/12/28,7,0,0,0
2014/12/29,1,0,1,1
2014/12/30,2,0,1,1
2014/12/31,3,0,1,1
2015/1/1,4,1,1,0
2015/1/2,5,1,1,0
2015/1/3,6,1,0,0
2015/1/4,7,0,0,1
2015/1/5,1,0,1,1
2015/1/6,2,0,1,1
2015/1/7,3,0,1,1
2015/1/8,4,0,1,1
2015/1/9,5,0,1,1
2015/1/10,6,0,0,0
2015/1/11,7,0,0,0
2015/1/12,1,0,1,1
2015/1/13,2,0,1,1
2015/1/14,3,0,1,1
2015/1/15,4,0,1,1
2015/1/16,5,0,1,1
2015/1/17,6,0,0,0
2015/1/18,7,0,0,0
2015/1/19,1,0,1,1
2015/1/20,2,0,1,1
2015/1/21,3,0,1,1
2015/1/22,4,0,1,1
2015/1/23,5,0,1,1
2015/1/24,6,0,0,0
2015/1/25,7,0,0,0
2015/1/26,1,0,1,1
2015/1/27,2,0,1,1
2015/1/28,3,0,1,1
2015/1/29,4,0,1,1
2015/1/30,5,0,1,1
2015/1/31,6,0,0,0
2015/2/1,7,0,0,0
2015/2/2,1,0,1,1
2015/2/3,2,0,1,1
2015/2/4,3,0,1,1
2015/2/5,4,0,1,1
2015/2/6,5,0,1,1
2015/2/7,6,0,0,0
2015/2/8,7,0,0,0
2015/2/9,1,0,1,1
2015/2/10,2,0,1,1
2015/2/11,3,0,1,1
2015/2/12,4,0,1,1
2015/2/13,5,0,1,1
2015/2/14,6,0,0,0
2015/2/15,7,0,0,1
2015/2/16,1,0,1,1
2015/2/17,2,0,1,1
2015/2/18,3,1,1,0
2015/2/19,4,1,1,0
2015/2/20,5,1,1,0
2015/2/21,6,1,0,0
2015/2/22,7,1,0,0
2015/2/23,1,1,1,0
2015/2/24,2,1,1,0
2015/2/25,3,0,1,1
2015/2/26,4,0,1,1
2015/2/27,5,0,1,1
2015/2/28,6,0,0,1
2015/3/1,7,0,0,0
2015/3/2,1,0,1,1
2015/3/3,2,0,1,1
2015/3/4,3,0,1,1
2015/3/5,4,0,1,1
2015/3/6,5,0,1,1
2015/3/7,6,0,0,0
2015/3/8,7,0,0,0
2015/3/9,1,0,1,1
2015/3/10,2,0,1,1
2015/3/11,3,0,1,1
2015/3/12,4,0,1,1
2015/3/13,5,0,1,1
2015/3/14,6,0,0,0
2015/3/15,7,0,0,0
2015/3/16,1,0,1,1
2015/3/17,2,0,1,1
2015/3/18,3,0,1,1
2015/3/19,4,0,1,1
2015/3/20,5,0,1,1
2015/3/21,6,0,0,0
2015/3/22,7,0,0,0
2015/3/23,1,0,1,1
2015/3/24,2,0,1,1
2015/3/25,3,0,1,1
2015/3/26,4,0,1,1
2015/3/27,5,0,1,1
2015/3/28,6,0,0,0
2015/3/29,7,0,0,0
2015/3/30,1,0,1,1
2015/3/31,2,0,1,1
2015/4/1,3,0,1,1
2015/4/2,4,0,1,1
2015/4/3,5,0,1,1
2015/4/4,6,1,0,0
2015/4/5,7,1,0,0
2015/4/6,1,1,1,0
2015/4/7,2,0,1,1
2015/4/8,3,0,1,1
2015/4/9,4,0,1,1
2015/4/10,5,0,1,1
2015/4/11,6,0,0,0
2015/4/12,7,0,0,0
2015/4/13,1,0,1,1
2015/4/14,2,0,1,1
2015/4/15,3,0,1,1
2015/4/16,4,0,1,1
2015/4/17,5,0,1,1
2015/4/18,6,0,0,0
2015/4/19,7,0,0,0
2015/4/20,1,0,1,1
2015/4/21,2,0,1,1
2015/4/22,3,0,1,1
2015/4/23,4,0,1,1
2015/4/24,5,0,1,1
2015/4/25,6,0,0,0
2015/4/26,7,0,0,0
2015/4/27,1,0,1,1
2015/4/28,2,0,1,1
2015/4/29,3,0,1,1
2015/4/30,4,0,1,1
2015/5/1,5,1,1,0
2015/5/2,6,1,0,0
2015/5/3,7,1,0,0
2015/5/4,1,0,1,1
2015/5/5,2,0,1,1
2015/5/6,3,0,1,1
2015/5/7,4,0,1,1
2015/5/8,5,0,1,1
2015/5/9,6,0,0,0
2015/5/10,7,0,0,0
2015/5/11,1,0,1,1
2015/5/12,2,0,1,1
